Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 2474
Total Rays: 8000
Hit Ratio: 30.9 %%
Total polygons: 20684
Time [seconds]: 4.178
Time [millisec]: 4178
Time [microsec]: 4178315

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(15.651,0.053,-7.256) - 0.669
(13.600,0.013,-4.472) - 0.670
(19.598,0.179,-3.070) - 0.670
(15.863,0.551,-7.877) - 0.671
(15.959,0.399,-8.156) - 0.672
(19.620,0.106,-3.136) - 0.672
(13.302,0.075,-3.603) - 0.672
(19.559,0.231,-2.958) - 0.673
(5.755,0.046,-5.885) - 0.673
(19.483,0.080,-2.733) - 0.674
(14.502,0.323,-3.895) - 0.674
(5.634,0.042,-5.529) - 0.674
(15.946,0.438,-8.120) - 0.674
(5.641,0.103,-5.550) - 0.675
(13.518,0.420,-4.233) - 0.675
(19.587,0.218,-3.038) - 0.676
(14.387,0.358,-3.559) - 0.676
(14.466,0.375,-3.790) - 0.676
(19.490,0.140,-2.754) - 0.677
(8.196,0.005,-4.905) - 0.677
(19.476,0.020,-2.712) - 0.677
(14.370,0.335,-3.512) - 0.677
(14.548,0.176,-4.029) - 0.678
(14.441,0.391,-3.719) - 0.679
(13.503,0.445,-4.189) - 0.679
(13.308,0.173,-3.619) - 0.679
(20.756,0.304,-6.236) - 0.679
(19.632,0.069,-3.170) - 0.679
(13.534,0.400,-4.279) - 0.680
(15.973,0.366,-8.197) - 0.680
(14.319,0.169,-3.362) - 0.680
(13.388,0.436,-3.853) - 0.681
(14.402,0.384,-3.605) - 0.681
(19.515,0.225,-2.827) - 0.681
(14.311,0.109,-3.338) - 0.682
(19.532,0.248,-2.878) - 0.682
(5.766,0.009,-5.919) - 0.682
(13.454,0.480,-4.047) - 0.683
(15.901,0.533,-7.988) - 0.684
(15.667,0.274,-7.302) - 0.684
(13.596,0.173,-4.462) - 0.684
(13.587,0.234,-4.435) - 0.685
(14.353,0.316,-3.461) - 0.686
(19.576,0.259,-3.007) - 0.686
(5.762,0.108,-5.906) - 0.686
(14.327,0.232,-3.385) - 0.687
(19.497,0.203,-2.775) - 0.687
(14.491,0.367,-3.865) - 0.687
(14.566,0.041,-4.083) - 0.688
(19.549,0.274,-2.927) - 0.689
(5.622,0.081,-5.495) - 0.689
(15.677,0.338,-7.333) - 0.689
(15.935,0.485,-8.087) - 0.689
(15.656,0.215,-7.269) - 0.690
(20.687,0.385,-6.234) - 0.690
(14.302,0.049,-3.313) - 0.690
(19.644,0.032,-3.206) - 0.691
(13.489,0.477,-4.148) - 0.691
(15.847,0.582,-7.828) - 0.691
(13.339,0.352,-3.712) - 0.691
(13.606,0.113,-4.489) - 0.692
(19.616,0.208,-3.123) - 0.692
(14.561,0.141,-4.068) - 0.692
(19.627,0.170,-3.157) - 0.692
(5.615,0.020,-5.473) - 0.692
(19.471,0.120,-2.698) - 0.693
(13.551,0.384,-4.331) - 0.693
(5.774,0.071,-5.941) - 0.693
(13.327,0.315,-3.675) - 0.694
(14.417,0.414,-3.649) - 0.694
(19.463,0.058,-2.676) - 0.694
(13.579,0.299,-4.411) - 0.695
(19.605,0.248,-3.090) - 0.696
(13.351,0.393,-3.746) - 0.696
(19.639,0.133,-3.192) - 0.697
(15.988,0.338,-8.243) - 0.698
(19.478,0.183,-2.720) - 0.698
(15.749,0.539,-7.544) - 0.699
(15.734,0.516,-7.499) - 0.701
